Trip ID,Route ID,Stop ID,Stop Sequence,Arrival Time (Epoch),Delay (Seconds)
1017596,865,3929,12,1782723419,0
1017596,865,3990,13,1782723499,0
1017596,865,4006,14,1782723575,0
1017615,865,3467,1,1782723901,0
1017615,865,3455,2,1782723998,0
1017615,865,3483,3,1782724179,0
1017615,865,3507,4,1782724241,0
1017615,865,3586,5,1782724302,0
1017615,865,3624,6,1782724356,0
1017615,865,3681,7,1782724408,0
1017615,865,100416,8,1782724566,0
1017615,865,3832,9,1782724653,0
1017615,865,3885,10,1782724741,0
1017615,865,6976,11,1782724848,0
1017615,865,3929,12,1782724937,0
1017615,865,3990,13,1782725007,0
1017615,865,4006,14,1782725074,0
1017615,865,4050,15,1782725140,0
1017619,865,5078,13,1782723372,0
1017619,865,5055,14,1782723401,0
1017619,865,5046,15,1782723443,0
1017619,865,5025,16,1782723500,0
1017619,865,5022,999,1782723526,0
1017642,866R,4741,8,1782723377,0
1017642,866R,4722,9,1782723388,0
1017642,866R,4617,10,1782723453,0
1017642,866R,4558,11,1782723473,0
1017642,866R,4622,12,1782723496,0
1017642,866R,4678,13,1782723521,0
1017642,866R,4729,14,1782723562,0
1017642,866R,4744,15,1782723575,0
1017642,866R,4759,16,1782723593,0
1017642,866R,4794,17,1782723611,0
1017642,866R,4803,18,1782723642,0
1017642,866R,4825,19,1782723659,0
1017642,866R,4857,20,1782723691,0
1017642,866R,4879,21,1782723734,0
1017642,866R,4904,22,1782723773,0
1017642,866R,4894,23,1782723793,0
1017642,866R,4874,24,1782723807,0
1017642,866R,4850,25,1782723829,0
1017642,866R,4831,26,1782723849,0
1017642,866R,4828,27,1782723874,0
1017642,866R,4833,28,1782723909,0
1017642,866R,100399,29,1782723926,0
1017642,866R,101623,999,1782724074,0
1022326,100,4262,48,1782723375,0
1022326,100,4258,49,1782723395,0
1022326,100,4250,50,1782723461,0
1022326,100,4248,51,1782723486,0
1022326,100,4245,52,1782723527,0
